event id,guest name,event type,event date,event cost,event state
120,Toby Carlisle,Concert,2024-04-11,152,Florida
121,Toby Carlisle,Concert,2023-07-14,176,South Dakota
122,Toby Carlisle,Concert,2024-12-15,66,Delaware
123,Matt Abelman,Sport,2024-02-26,140,South Dakota
124,Cathy Hwang,Party,2024-12-12,158,Oklahoma
125,Lori Olson,Concert,2024-08-28,79,Wyoming
126,Lori Olson,Concert,2023-01-21,105,Ohio
127,Nona Balk,Meal,2023-03-20,59,Alaska
128,Nona Balk,Meal,2023-03-07,99,California
129,Nona Balk,Meal,2023-08-15,106,Connecticut
130,Nona Balk,Concert,2023-12-08,91,Tennessee
131,Ted Butterfield,Concert,2023-10-25,196,Illinois
132,Ted Butterfield,Party,2023-01-29,171,North Dakota
133,Ted Butterfield,Concert,2023-02-18,196,Hawaii
134,Liz Preis,Meal,2024-11-08,95,Maine
135,Liz Preis,Meal,2023-12-13,104,New Mexico
136,Liz Preis,Party,2024-06-15,106,Connecticut
137,Liz Preis,Meal,2023-12-01,111,Arkansas
138,Grant Thornton,Concert,2024-07-28,70,Rhode Island
139,Grant Thornton,Meal,2023-06-05,158,Illinois
140,Grant Thornton,Concert,2024-11-26,144,Colorado
141,Grant Thornton,Meal,2023-05-05,185,New Hampshire
142,Sung Shariari,Meal,2024-12-11,187,Nebraska
143,Deirdre Greer,Sport,2023-10-01,156,Oklahoma
144,Deirdre Greer,Sport,2024-06-15,83,Idaho
145,Deirdre Greer,Meal,2024-03-05,138,Missouri
146,Deirdre Greer,Party,2023-04-11,191,Maryland
147,Deirdre Greer,Party,2024-03-17,149,Pennsylvania
148,Sylvia Foulston,Sport,2024-08-29,90,Nebraska
149,Sylvia Foulston,Meal,2023-10-20,154,North Dakota
150,Sylvia Foulston,Sport,2024-06-30,91,Nevada
151,Sylvia Foulston,Concert,2023-07-19,52,Nevada
152,Sylvia Foulston,Meal,2023-07-26,98,Ohio
153,David Wiener,Party,2023-04-26,200,New Mexico
154,Alejandro Grove,Sport,2024-05-12,168,Rhode Island
155,Alejandro Grove,Party,2023-08-06,136,New Hampshire
156,Alejandro Grove,Party,2023-08-10,153,Nebraska
157,Alejandro Grove,Sport,2024-03-16,121,Rhode Island
158,Roland Schwarz,Sport,2024-09-15,167,New York
159,Roland Schwarz,Sport,2024-08-12,200,Kansas
160,Roland Schwarz,Sport,2024-12-30,186,Idaho
161,Sandra Flanagan,Sport,2024-02-24,135,Minnesota
162,Sandra Flanagan,Party,2023-10-10,128,New Jersey
163,Sandra Flanagan,Party,2024-03-04,75,Utah
164,Sandra Flanagan,Sport,2023-11-08,84,South Carolina
165,Sandra Flanagan,Meal,2024-05-01,125,Rhode Island
166,Rob Beeghly,Meal,2023-06-22,60,Kentucky
167,Rob Beeghly,Party,2024-01-19,89,Nevada
168,Amy Hunt,Meal,2024-05-13,158,North Dakota
169,Amy Hunt,Sport,2024-10-14,194,Kentucky
170,Amy Hunt,Meal,2023-01-16,131,New Hampshire
171,Amy Hunt,Sport,2023-12-23,118,Nebraska
172,Amy Hunt,Concert,2023-07-08,174,Indiana
173,Giulietta Weimer,Meal,2023-12-03,126,Utah
174,Giulietta Weimer,Sport,2024-03-29,162,Texas
175,Giulietta Weimer,Party,2024-06-07,155,Oregon
176,Giulietta Weimer,Meal,2024-05-15,189,Rhode Island
177,Jamie Frazer,Meal,2023-10-06,161,South Dakota
178,Jamie Frazer,Concert,2023-12-06,196,South Dakota
179,Jamie Frazer,Sport,2023-02-05,158,New Jersey
180,Jamie Frazer,Party,2024-01-02,109,Mississippi
181,Alan Shonely,Meal,2024-07-31,134,Washington
182,Alan Shonely,Meal,2023-06-03,187,Illinois
183,Alan Shonely,Party,2023-07-01,157,Iowa
184,Sonia Cooley,Meal,2023-12-24,72,Ohio
185,Sonia Cooley,Concert,2024-12-08,194,Utah
186,Aleksandra Gannaway,Party,2023-05-31,70,Montana
187,Aleksandra Gannaway,Meal,2023-09-27,174,Kentucky
188,Aleksandra Gannaway,Meal,2023-09-14,100,Washington
189,Aleksandra Gannaway,Sport,2024-07-10,161,Washington
190,Nat Carroll,Sport,2024-10-26,134,Wisconsin
191,Nat Carroll,Meal,2024-04-16,178,Alabama
192,Nat Carroll,Meal,2023-12-21,80,Pennsylvania
193,Nat Carroll,Sport,2024-10-28,153,Montana
194,Bruce Degenhardt,Party,2023-08-27,149,North Dakota
195,Bruce Degenhardt,Meal,2024-11-14,131,North Carolina
196,Bruce Degenhardt,Meal,2024-11-02,63,Maryland
197,Jennifer Braxton,Sport,2023-10-24,168,Nevada
198,Jennifer Braxton,Concert,2024-04-22,76,Wyoming
199,Jennifer Braxton,Meal,2024-03-10,188,Maine
200,Lena Radford,Concert,2023-02-03,165,Nebraska
201,Adam Shillingsburg,Sport,2023-09-04,68,Maine
202,Adam Shillingsburg,Sport,2024-02-12,94,Iowa
203,Adam Shillingsburg,Concert,2024-01-10,72,Oklahoma
204,Adam Shillingsburg,Concert,2024-02-04,91,Iowa
205,Penelope Sewall,Meal,2023-02-24,177,West Virginia
206,Penelope Sewall,Meal,2024-06-27,150,West Virginia
207,Penelope Sewall,Sport,2024-08-30,158,Utah
208,Penelope Sewall,Concert,2023-04-27,122,Oklahoma
209,Maureen Gnade,Sport,2024-04-17,102,Maine
210,Maureen Gnade,Meal,2023-12-11,131,Hawaii
211,Maureen Gnade,Sport,2023-03-18,112,Idaho
212,Maureen Gnade,Meal,2024-06-16,153,Wisconsin
213,Max Ludwig,Meal,2024-03-25,86,Missouri
214,Max Ludwig,Concert,2024-02-12,126,California
215,Max Ludwig,Sport,2024-07-20,76,Tennessee
216,Max Ludwig,Meal,2024-09-19,182,Washington
217,Sally Matthias,Meal,2023-05-21,181,New York
218,Sally Matthias,Sport,2023-05-01,133,Washington
219,Peter McVee,Meal,2024-05-25,159,Tennessee
220,Peter McVee,Concert,2023-10-12,145,Wisconsin
221,Peter McVee,Sport,2023-11-21,104,Virginia
222,Peter McVee,Sport,2024-08-07,194,Idaho
223,Peter McVee,Meal,2023-06-05,112,New Hampshire
224,Justin Ritter,Party,2024-10-18,126,Nebraska
225,Justin Ritter,Sport,2023-05-04,130,Washington
226,Justin Ritter,Sport,2023-01-21,97,Missouri
227,Justin Ritter,Party,2024-05-16,191,Wyoming
228,Rachel Payne,Sport,2024-04-17,188,Ohio
229,Rachel Payne,Concert,2023-01-22,114,Arkansas
230,Rachel Payne,Sport,2024-03-04,170,Maine
231,Rachel Payne,Sport,2024-02-01,58,Kentucky
232,Rick Huthwaite,Meal,2023-03-09,83,North Carolina
233,Rick Huthwaite,Concert,2023-06-18,115,Missouri
234,Rick Huthwaite,Sport,2024-08-05,113,Mississippi
235,Rick Huthwaite,Party,2024-12-28,75,North Carolina
236,Rick Huthwaite,Sport,2024-02-06,99,Texas
237,Evan Henry,Meal,2024-06-16,73,South Carolina
238,Evan Henry,Sport,2024-09-09,188,Tennessee
239,Evan Henry,Sport,2023-09-13,153,Illinois
240,Benjamin Patterson,Concert,2023-10-20,79,Oregon
241,Benjamin Patterson,Meal,2024-03-13,112,Texas
242,Julie Creighton,Meal,2024-11-16,96,Rhode Island
243,Julie Creighton,Sport,2024-01-29,93,Iowa
244,Julie Creighton,Sport,2024-04-27,129,South Carolina
245,Julie Creighton,Sport,2024-07-31,132,Arkansas
246,Julie Creighton,Meal,2024-02-03,178,Kansas
247,Duane Noonan,Party,2024-03-09,168,Missouri
248,Duane Noonan,Concert,2023-03-28,50,Massachusetts
249,Duane Noonan,Meal,2024-12-05,93,Louisiana
250,Dan Campbell,Meal,2023-11-23,118,Minnesota
251,Dan Campbell,Meal,2023-02-15,151,Montana
252,Dan Campbell,Party,2023-02-03,114,Arizona
253,Sarah Jordon,Party,2024-08-23,63,Washington
254,Sarah Jordon,Meal,2024-09-17,77,New Jersey
255,Cari Schnelling,Party,2024-08-23,174,Utah
256,Cari Schnelling,Meal,2023-05-21,59,Michigan
257,Cari Schnelling,Concert,2023-05-18,107,Washington
258,Rick Bensley,Meal,2023-09-20,178,Georgia
259,Rick Bensley,Concert,2023-07-05,66,Pennsylvania
260,Rick Bensley,Concert,2024-01-25,189,Delaware
261,Rick Bensley,Sport,2023-08-12,151,New Jersey
262,Rick Bensley,Sport,2023-04-25,140,Nevada
263,Maria Bertelson,Meal,2023-02-22,91,Wyoming
264,Maria Bertelson,Meal,2023-10-19,102,South Carolina
265,Maria Bertelson,Meal,2024-05-28,67,North Dakota
266,Maria Bertelson,Concert,2024-05-12,65,Mississippi
267,Brooke Gillingham,Meal,2023-02-26,55,North Dakota
268,Brooke Gillingham,Concert,2023-03-04,127,Hawaii
269,Karen Seio,Sport,2024-03-02,78,Mississippi
270,Karen Seio,Sport,2024-12-03,194,New York
271,Karen Seio,Sport,2023-02-11,116,Minnesota
272,Karen Seio,Sport,2023-06-17,192,Oklahoma
273,Shaun Weien,Party,2023-09-20,181,Texas
274,Shaun Weien,Sport,2023-09-19,183,Hawaii
275,Daniel Lacy,Sport,2024-09-21,194,Washington
276,Daniel Lacy,Meal,2024-12-11,189,Pennsylvania
277,Shaun Chance,Party,2024-03-01,99,New Hampshire
278,Shaun Chance,Concert,2024-02-27,114,Alaska
279,Mike Vittorini,Meal,2023-11-12,88,Rhode Island
280,Mike Vittorini,Sport,2024-05-21,73,Oregon
281,Mike Vittorini,Meal,2023-06-26,143,Maine
282,Mike Vittorini,Sport,2023-10-11,98,Maine
283,Mike Vittorini,Concert,2023-07-29,104,South Carolina
284,Neola Schneider,Meal,2024-01-11,145,New York
285,Neola Schneider,Sport,2024-07-31,105,California
286,Neola Schneider,Meal,2024-09-16,133,Wyoming
287,Susan Vittorini,Sport,2023-03-07,160,Ohio
288,Susan Vittorini,Sport,2024-04-18,173,Florida
289,Susan Vittorini,Sport,2024-11-01,89,Missouri
290,Shui Tom,Concert,2023-06-01,127,Florida
291,Candace McMahon,Sport,2023-06-12,66,New Hampshire
292,Candace McMahon,Party,2023-09-03,56,North Carolina
293,Candace McMahon,Sport,2024-05-05,179,Connecticut
294,Candace McMahon,Party,2023-12-26,53,Kansas
295,Candace McMahon,Meal,2023-12-31,185,Oregon
296,Elpida Rittenbach,Meal,2023-08-07,66,Illinois
297,Elpida Rittenbach,Sport,2023-06-23,50,West Virginia
298,Maxwell Schwartz,Party,2023-03-23,138,New Jersey
299,Maxwell Schwartz,Meal,2024-05-28,107,Iowa
300,Maxwell Schwartz,Concert,2023-05-08,58,Connecticut
301,Maxwell Schwartz,Sport,2023-07-26,198,Colorado
302,Maxwell Schwartz,Sport,2024-05-29,158,Georgia
303,Aaron Hawkins,Party,2023-09-17,64,North Dakota
304,Aaron Hawkins,Party,2023-03-29,123,Iowa
305,Aaron Hawkins,Meal,2023-12-30,148,Maryland
306,Aaron Hawkins,Sport,2023-10-17,195,Arizona
307,Craig Leslie,Sport,2023-08-06,183,Tennessee
308,Craig Leslie,Meal,2024-05-21,174,North Carolina
309,Craig Leslie,Sport,2024-10-09,102,Wyoming
310,Ken Black,Concert,2023-08-21,102,North Dakota
311,Ken Black,Sport,2024-09-17,144,Idaho
312,Justin MacKendrick,Party,2023-07-01,63,Arkansas
313,Justin MacKendrick,Sport,2023-07-24,60,Arizona
314,Justin MacKendrick,Meal,2024-03-26,62,Georgia
315,Justin MacKendrick,Party,2023-03-14,200,New York
316,Justin MacKendrick,Concert,2024-12-15,110,Indiana
317,Alan Schoenberger,Sport,2023-10-28,77,New Hampshire
318,Speros Goranitis,Meal,2023-09-03,140,Ohio
319,Speros Goranitis,Concert,2023-03-08,171,Virginia
320,Meg Tillman,Party,2023-10-26,128,Washington
321,Meg Tillman,Sport,2024-05-13,72,Utah
322,Meg Tillman,Concert,2023-03-13,64,Connecticut
323,Meg Tillman,Sport,2024-12-25,108,Nebraska
324,Meg Tillman,Party,2023-05-19,64,Illinois
325,Erica Hernandez,Meal,2023-03-03,50,South Dakota
326,Erica Hernandez,Sport,2024-08-17,199,Colorado
327,Erica Hernandez,Concert,2024-09-03,52,Arkansas
328,Erica Hernandez,Meal,2024-08-18,79,Tennessee
329,Erica Hernandez,Sport,2023-03-10,155,Tennessee
330,Matt Collister,Sport,2024-03-24,152,Florida
331,Vicky Freymann,Sport,2023-04-29,55,Ohio
332,Linda Southworth,Sport,2023-12-19,102,Nevada
333,Linda Southworth,Meal,2024-11-23,96,Nebraska
334,Linda Southworth,Sport,2024-12-03,66,Nevada
335,Linda Southworth,Sport,2023-05-27,145,Indiana
336,Stuart Calhoun,Sport,2024-03-06,138,Nevada
337,Stuart Calhoun,Meal,2024-08-06,159,Illinois
338,Stuart Calhoun,Sport,2024-12-14,100,Idaho
339,Stuart Calhoun,Concert,2023-05-15,74,Mississippi
340,Stuart Calhoun,Meal,2024-09-23,65,Idaho
341,Maurice Satty,Meal,2024-06-23,91,Oregon
342,Maurice Satty,Meal,2024-06-10,103,Illinois
343,Maurice Satty,Sport,2023-09-04,195,Pennsylvania
344,Maurice Satty,Sport,2024-11-13,152,Nevada
345,Christopher Conant,Meal,2024-08-08,176,Minnesota
346,Dianna Vittorini,Sport,2024-05-28,173,Wyoming
347,Dianna Vittorini,Sport,2024-01-25,113,Kansas
348,Lynn Smith,Meal,2024-09-25,184,Louisiana
349,Lynn Smith,Meal,2023-09-03,122,Kentucky
350,Lynn Smith,Meal,2023-08-09,111,Hawaii
351,Chris Selesnick,Sport,2024-03-31,122,North Dakota
352,Chris Selesnick,Meal,2023-10-03,101,Nebraska
353,Chris Selesnick,Party,2023-10-29,77,Nevada
354,Chris Selesnick,Concert,2023-06-18,200,California
355,Chris Selesnick,Meal,2024-10-30,190,Utah
356,Paul Van Hugh,Meal,2023-03-19,56,New York
357,Sandra Glassco,Sport,2023-08-28,198,Montana
358,Sandra Glassco,Party,2024-02-01,200,Oregon
359,Sandra Glassco,Meal,2023-10-07,194,Delaware
360,Sandra Glassco,Sport,2024-03-02,162,Ohio
361,Mark Haberlin,Meal,2023-05-21,188,Maine
362,Mark Haberlin,Meal,2023-11-29,175,Ohio
363,Eileen Kiefer,Meal,2024-08-10,175,Virginia
364,Eileen Kiefer,Meal,2024-12-15,121,Idaho
365,Eileen Kiefer,Meal,2024-04-27,169,Georgia
366,Eileen Kiefer,Meal,2024-07-24,173,Utah
367,Eileen Kiefer,Sport,2023-06-29,175,New Hampshire
368,Delfina Latchford,Sport,2024-10-04,114,Ohio
369,Delfina Latchford,Sport,2024-06-15,123,Michigan
370,Delfina Latchford,Meal,2023-01-01,53,South Carolina
371,Delfina Latchford,Meal,2024-11-06,179,South Carolina
372,Karen Bern,Sport,2023-04-28,80,Illinois
373,Karen Bern,Meal,2023-01-17,174,Texas
374,Natalie Fritzler,Concert,2023-10-27,90,Iowa
375,Natalie Fritzler,Sport,2023-09-27,79,Alaska
376,Natalie Fritzler,Meal,2023-11-05,99,New Mexico
377,Natalie Fritzler,Sport,2023-08-03,79,Kansas
378,Natalie Fritzler,Party,2024-04-24,52,New Hampshire
379,Natalie DeCherney,Party,2024-03-11,176,Washington
380,Natalie DeCherney,Sport,2024-05-26,95,South Dakota
381,Natalie DeCherney,Concert,2023-08-14,182,Wyoming
382,Natalie DeCherney,Concert,2024-01-18,122,Alaska
383,Jay Fein,Sport,2024-03-14,94,Utah
384,John Stevenson,Meal,2024-06-07,153,Alabama
385,John Stevenson,Meal,2024-12-16,75,Alaska
386,John Stevenson,Concert,2024-09-04,54,Arizona
387,John Stevenson,Sport,2024-08-13,184,Colorado
388,Fred Hopkins,Party,2024-12-15,88,Louisiana
389,Fred Hopkins,Meal,2024-01-20,126,Nebraska
390,Jane Waco,Meal,2023-09-23,68,Arkansas
391,Jane Waco,Meal,2023-12-09,155,Arkansas
392,Jane Waco,Meal,2024-09-10,179,New Hampshire
393,Lindsay Williams,Concert,2023-05-02,127,Massachusetts
394,Lindsay Williams,Meal,2023-03-23,138,Indiana
395,Lindsay Williams,Sport,2023-08-23,130,Tennessee
396,Lindsay Williams,Sport,2023-04-29,116,Missouri
397,Andrew Roberts,Concert,2024-11-27,127,Indiana
398,Richard Eichhorn,Sport,2023-06-28,155,New Jersey
399,Corey Catlett,Sport,2023-12-25,61,Iowa
400,Corey Catlett,Party,2023-06-05,154,New Mexico
401,Corey Catlett,Sport,2024-03-23,124,New York
402,Corey Catlett,Sport,2024-11-25,170,Delaware
403,Corey Catlett,Sport,2024-01-27,131,Missouri
404,Don Jones,Party,2023-11-28,169,Wisconsin
405,Don Jones,Meal,2023-02-19,174,California
406,Don Jones,Meal,2024-05-09,127,Pennsylvania
407,Don Jones,Concert,2024-09-01,197,Colorado
408,Quincy Jones,Concert,2023-11-20,104,Vermont
409,Quincy Jones,Party,2024-07-05,71,Arkansas
410,Quincy Jones,Party,2024-06-27,60,Maine
411,Quincy Jones,Sport,2023-10-03,93,Wyoming
412,Cathy Prescott,Meal,2023-06-06,97,Connecticut
413,Cathy Prescott,Sport,2024-10-03,59,Wisconsin
414,Cathy Prescott,Sport,2023-06-17,155,Wisconsin
415,Cathy Prescott,Sport,2024-10-30,190,Nevada
416,Anthony Johnson,Concert,2024-03-10,173,Missouri
417,Anthony Johnson,Meal,2023-03-28,136,Massachusetts
418,Neil Französisch,Party,2024-06-01,167,Pennsylvania
419,Neil Französisch,Concert,2023-06-25,150,Alaska
420,Neil Französisch,Party,2024-12-10,133,Kentucky
421,Neil Französisch,Concert,2024-11-16,69,Hawaii
422,Rick Duston,Meal,2024-06-25,114,New Mexico
423,Rick Duston,Sport,2023-03-14,169,Indiana
424,Rick Duston,Meal,2023-06-29,76,Kansas
425,Roy Phan,Sport,2023-03-05,145,Mississippi
426,Roy Phan,Meal,2023-10-27,164,Pennsylvania
427,Roy Phan,Concert,2023-09-15,143,Alaska
428,Roy Phan,Party,2024-04-29,118,Montana
429,Roy Phan,Concert,2024-04-16,61,Hawaii
430,Matt Connell,Meal,2023-11-09,73,Virginia
431,Matt Connell,Meal,2023-12-04,103,California
432,Odella Nelson,Sport,2024-06-07,83,Hawaii
433,Odella Nelson,Meal,2023-01-14,198,Wisconsin
434,Odella Nelson,Sport,2023-04-24,198,Wisconsin
435,Paul Prost,Meal,2023-01-23,80,Nebraska
436,Paul Prost,Concert,2024-04-01,76,Washington
437,Eugene Barchas,Sport,2023-03-01,152,Delaware
438,Eugene Barchas,Meal,2023-05-24,148,Kansas
439,Eugene Barchas,Sport,2023-05-22,57,Massachusetts
440,Eugene Barchas,Meal,2023-09-05,195,Arizona
441,Eugene Barchas,Sport,2024-06-22,119,Rhode Island
442,Christine Kargatis,Sport,2023-08-12,116,Maine
443,Christine Kargatis,Concert,2023-08-07,152,Vermont
444,Christine Kargatis,Sport,2024-04-05,109,Wyoming
445,Christine Kargatis,Concert,2023-12-04,109,Tennessee
446,Andrew Gjertsen,Meal,2023-01-20,128,Illinois
447,Andrew Gjertsen,Meal,2024-10-04,106,Iowa
448,Andrew Gjertsen,Sport,2024-12-10,93,Rhode Island
449,Michael Granlund,Sport,2023-09-08,110,Idaho
450,Michael Granlund,Meal,2023-12-06,107,Arizona
451,Michael Granlund,Meal,2023-09-14,122,Ohio
452,Alex Avila,Meal,2023-05-11,66,Arkansas
453,Alex Avila,Sport,2023-02-26,86,South Carolina
454,Alex Avila,Meal,2023-02-23,142,Michigan
455,Julie Kriz,Meal,2024-11-02,181,Kansas
456,Julie Kriz,Sport,2024-03-15,69,Colorado
457,Julie Kriz,Sport,2024-10-08,109,Massachusetts
458,Tamara Chand,Sport,2023-06-19,80,Arizona
459,Tamara Chand,Meal,2024-10-27,128,Alabama
460,Tamara Chand,Concert,2023-05-31,171,Pennsylvania
461,Melanie Seite,Concert,2023-07-10,108,New York
462,Melanie Seite,Meal,2023-08-26,100,Virginia
463,Melanie Seite,Party,2024-01-02,139,South Dakota
464,Melanie Seite,Concert,2024-04-11,128,Pennsylvania
465,Yana Sorensen,Concert,2023-04-24,72,Vermont
466,Yana Sorensen,Sport,2024-07-01,107,New Jersey
467,Yana Sorensen,Meal,2024-03-26,116,Missouri
468,Victoria Wilson,Meal,2023-04-15,102,Hawaii
469,Ionia McGrath,Sport,2023-04-15,99,Florida
470,Ionia McGrath,Sport,2023-08-28,187,Oklahoma
471,Ionia McGrath,Meal,2023-12-10,135,Rhode Island
472,Ionia McGrath,Sport,2024-03-28,168,North Dakota
473,Alejandro Ballentine,Sport,2023-08-05,66,Delaware
474,Alejandro Ballentine,Sport,2023-06-20,180,South Dakota
475,Alejandro Ballentine,Sport,2024-11-07,124,South Dakota
476,Alejandro Ballentine,Sport,2024-02-01,72,Wisconsin
477,Alejandro Ballentine,Sport,2023-06-05,67,New Hampshire
478,Giulietta Dortch,Meal,2024-08-28,158,New Mexico
479,Giulietta Dortch,Sport,2023-10-23,65,Louisiana
480,Jennifer Halladay,Meal,2023-12-13,116,Tennessee
481,Jennifer Halladay,Meal,2024-01-31,63,Alabama
